THD Ratio -> Specify Data Points,,
DUT_WA001,,
X,Y,
Hz,%,
6000,0.220772181,
6300,0.237382855,
6700,0.396544876,
7100,0.417107713,
7500,0.363640247,
8000,0.382991984,
8500,0.236279358,
9000,0.148634686,
9500,0.170729989,
10000,0.331561508,
,,
THD Ratio -> Specify Data Points,,
DUT_WA003,,
X,Y,
Hz,%,
100,35.62145315,
106,33.43799216,
